01-01-08-04-15-G97,上海机房1
01-01-08-04-15-G98,上海机房2
01-01-08-04-15-G99,上海机房3
01-01-08-04-15-H00,上海机房4
01-01-08-04-15-H01,上海机房5
01-01-08-04-15-H02,上海机房6
01-01-08-04-15-H03,上海机房7
01-01-08-04-15-H04,上海机房8
01-01-08-04-15-H05,上海机房9
01-01-08-04-15-H06,上海机房10
01-01-08-04-15-H07,上海机房11
01-01-08-04-15-H08,上海机房12
01-01-08-04-15-H09,上海机房13
01-01-08-04-15-H10,上海机房14
01-01-08-04-15-H11,上海机房15
01-01-08-04-15-H12,上海机房16
01-01-08-04-15-H13,上海机房17
01-01-08-04-15-H14,上海机房18
01-01-08-04-15-H15,上海机房19
01-01-08-04-15-H16,上海机房20
01-01-08-04-15-H17,上海机房21
01-01-08-04-15-H18,上海机房22
01-01-08-04-15-H19,上海机房23
01-01-08-04-15-H20,上海机房24
01-01-08-04-15-H21,上海机房25
01-01-08-04-15-H22,上海机房26
01-01-08-04-15-H23,上海机房27
01-01-08-04-15-H24,上海机房28
01-01-08-04-15-H25,上海机房29
01-01-08-04-15-H26,上海机房30
01-01-08-04-15-H27,上海机房31
01-01-08-04-15-H28,上海机房32
01-01-08-04-15-H29,上海机房33
01-01-08-04-15-H30,上海机房34
01-01-08-04-15-H31,上海机房35
01-01-08-04-15-H32,上海机房36
01-01-08-04-15-H33,上海机房37
01-01-08-04-15-H34,上海机房38
01-01-08-04-15-H35,上海机房39
01-01-08-04-15-H36,上海机房40
01-01-08-04-15-H37,上海机房41
01-01-08-04-15-H38,上海机房42
01-01-08-04-15-H39,上海机房43
01-01-08-04-15-H40,上海机房44
01-01-08-04-15-H41,上海机房45
01-01-08-04-15-H42,上海机房46
01-01-08-04-15-H43,上海机房47
01-01-08-04-15-H44,上海机房48
01-01-08-04-15-H45,上海机房49
01-01-08-04-15-H46,上海机房50
01-01-08-04-15-H47,上海机房51
01-01-08-04-15-H48,上海机房52
01-01-08-04-15-H49,上海机房53
01-01-08-04-15-H50,上海机房54
01-01-08-04-15-H51,上海机房55
01-01-08-04-15-H52,上海机房56
01-01-08-04-15-H53,上海机房57
01-01-08-04-15-H54,上海机房58
01-01-08-04-15-H55,上海机房59
01-01-08-04-15-H56,上海机房60
01-01-08-04-15-H57,上海机房61
01-01-08-04-15-H58,上海机房62
01-01-08-04-15-H59,上海机房63
01-01-08-04-15-H60,上海机房64
01-01-08-04-15-H61,上海机房65
01-01-08-04-15-H62,上海机房66
01-01-08-04-15-H63,上海机房67
01-01-08-04-15-H64,上海机房68
01-01-08-04-15-H65,上海机房69
01-01-08-04-15-H66,上海机房70
01-01-08-04-15-H67,上海机房71
01-01-08-04-15-H68,上海机房72
01-01-08-04-15-H69,上海机房73
01-01-08-04-15-H70,上海机房74
01-01-08-04-15-H71,上海机房75
01-01-08-04-15-H72,上海机房76
01-01-08-04-15-H73,上海机房77
01-01-08-04-15-H74,上海机房78
01-01-08-04-15-H75,上海机房79
01-01-08-04-15-H76,上海机房80
01-01-08-04-15-H77,上海机房81
01-01-08-04-15-H78,上海机房82
01-01-08-04-15-H79,上海机房83
01-01-08-04-15-H80,上海机房84
01-01-08-04-15-H81,上海机房85
01-01-08-04-15-H82,上海机房86
01-01-08-04-15-H83,上海机房87
01-01-08-04-15-H84,上海机房88
01-01-08-04-15-H85,上海机房89
01-01-08-04-15-H86,上海机房90
01-01-08-04-15-H87,上海机房91
01-01-08-04-15-H88,上海机房92
01-01-08-04-15-H89,上海机房93
01-01-08-04-15-H90,上海机房94
01-01-08-04-15-H91,上海机房95
01-01-08-04-15-H92,上海机房96
01-01-08-04-15-H93,上海机房97
01-01-08-04-15-H94,上海机房98
01-01-08-04-15-H95,上海机房99
01-01-08-04-15-H96,上海机房100
