match,province_id,city_id,area_id,page_data,sql_data
匹配,110000,,,86468,86468
匹配,120000,,,78596,78596
匹配,130000,,,368028,368028
匹配,140000,,,203814,203814
匹配,150000,,,87508,87508
匹配,210000,,,21187,21187
不匹配,220000,,,67504,67503
匹配,230000,,,153878,153878
匹配,310000,,,38304,38304
匹配,320000,,,1298170,1298170
匹配,330000,,,813013,813013
不匹配,340000,,,530435,530433
匹配,350000,,,342961,342961
匹配,360000,,,41426,41426
匹配,370000,,,815242,815242
匹配,410000,,,217014,217014
匹配,420000,,,127627,127627
匹配,430000,,,179845,179845
匹配,440000,,,2275021,2275021
匹配,450000,,,249157,249157
匹配,460000,,,43080,43080
匹配,500000,,,149123,149123
匹配,510000,,,106492,106492
匹配,520000,,,155699,155699
匹配,530000,,,348335,348335
匹配,540000,,,30604,30604
匹配,610000,,,195824,195824
匹配,620000,,,37942,37942
匹配,630000,,,23473,23473
匹配,640000,,,54378,54378
匹配,650000,,,139117,139117
匹配,441900,,,0,0
匹配,442000,,,0,0
匹配,95828383,,,0,0
匹配,445835237,,,0,0
